subject	BlockReport	condition	trial_num	yn	setsize	response	error	message	feedback	rt
1	practice	RVvGV	1	1	3	40	0	HIT	HIT	1421
1	practice	RVvGV	2	0	3	1	0	TNEG	TNEG	677
1	practice	RVvGV	4	0	18	1	0	TNEG	TNEG	538
1	practice	RVvGV	5	0	12	1	0	TNEG	TNEG	423
1	practice	RVvGV	6	0	18	1	0	TNEG	TNEG	365
1	practice	RVvGV	7	0	6	1	0	TNEG	TNEG	294
1	practice	RVvGV	8	0	18	1	0	TNEG	TNEG	255
1	practice	RVvGV	9	1	3	40	0	HIT	HIT	312
1	practice	RVvGV	10	1	18	1	1	MISS	MISS	365
1	experiment	RVvGV	1	1	18	40	0	HIT	HIT	388
1	experiment	RVvGV	2	0	3	1	0	TNEG	TNEG	713
1	experiment	RVvGV	3	1	6	40	0	HIT	HIT	405
1	experiment	RVvGV	4	1	6	40	0	HIT	HIT	326
1	experiment	RVvGV	5	0	6	1	0	TNEG	TNEG	351
1	experiment	RVvGV	6	0	12	1	0	TNEG	TNEG	324
1	experiment	RVvGV	7	0	12	1	0	TNEG	TNEG	427
1	experiment	RVvGV	8	0	18	1	0	TNEG	TNEG	375
1	experiment	RVvGV	9	1	12	40	0	HIT	HIT	346
1	experiment	RVvGV	10	0	12	1	0	TNEG	TNEG	322
1	experiment	RVvGV	11	0	6	1	0	TNEG	TNEG	335
1	experiment	RVvGV	12	1	12	40	0	HIT	HIT	378
1	experiment	RVvGV	13	0	6	1	0	TNEG	TNEG	342
1	experiment	RVvGV	14	0	12	1	0	TNEG	TNEG	378
1	experiment	RVvGV	15	1	6	40	0	HIT	HIT	382
1	experiment	RVvGV	16	0	3	1	0	TNEG	TNEG	329
1	experiment	RVvGV	17	1	6	40	0	HIT	HIT	302
1	experiment	RVvGV	18	0	18	1	0	TNEG	TNEG	366
1	experiment	RVvGV	19	1	6	40	0	HIT	HIT	302
1	experiment	RVvGV	20	1	3	40	0	HIT	HIT	408
1	experiment	RVvGV	21	0	18	1	0	TNEG	TNEG	325
1	experiment	RVvGV	22	0	3	1	0	TNEG	TNEG	377
1	experiment	RVvGV	23	0	18	1	0	TNEG	TNEG	310
1	experiment	RVvGV	24	1	18	40	0	HIT	HIT	356
1	experiment	RVvGV	25	1	12	40	0	HIT	HIT	369
1	experiment	RVvGV	26	0	18	1	0	TNEG	TNEG	373
1	experiment	RVvGV	27	1	3	40	0	HIT	HIT	361
1	experiment	RVvGV	28	0	3	1	0	TNEG	TNEG	377
1	experiment	RVvGV	29	1	6	40	0	HIT	HIT	469
1	experiment	RVvGV	30	0	18	1	0	TNEG	TNEG	652
1	experiment	RVvGV	31	1	18	40	0	HIT	HIT	332
1	experiment	RVvGV	32	0	3	1	0	TNEG	TNEG	368
1	experiment	RVvGV	33	0	12	1	0	TNEG	TNEG	337
1	experiment	RVvGV	34	1	18	40	0	HIT	HIT	940
1	experiment	RVvGV	35	0	6	1	0	TNEG	TNEG	500
1	experiment	RVvGV	36	1	3	40	0	HIT	HIT	327
1	experiment	RVvGV	37	1	18	1	1	MISS	MISS	332
1	experiment	RVvGV	38	0	6	1	0	TNEG	TNEG	358
1	experiment	RVvGV	39	1	6	1	1	MISS	MISS	382
1	experiment	RVvGV	40	1	3	40	0	HIT	HIT	535
1	experiment	RVvGV	41	0	3	1	0	TNEG	TNEG	391
1	experiment	RVvGV	42	1	12	40	0	HIT	HIT	392
1	experiment	RVvGV	43	0	12	1	0	TNEG	TNEG	393
1	experiment	RVvGV	44	0	12	1	0	TNEG	TNEG	343
1	experiment	RVvGV	45	0	6	1	0	TNEG	TNEG	502
1	experiment	RVvGV	46	0	18	1	0	TNEG	TNEG	394
1	experiment	RVvGV	47	0	6	1	0	TNEG	TNEG	477
1	experiment	RVvGV	48	0	3	1	0	TNEG	TNEG	391
1	experiment	RVvGV	49	0	18	1	0	TNEG	TNEG	388
1	experiment	RVvGV	50	1	3	40	0	HIT	HIT	327
1	experiment	RVvGV	51	0	18	1	0	TNEG	TNEG	337
1	experiment	RVvGV	52	0	6	1	0	TNEG	TNEG	332
1	experiment	RVvGV	53	0	6	1	0	TNEG	TNEG	340
1	experiment	RVvGV	54	1	6	40	0	HIT	HIT	373
1	experiment	RVvGV	55	0	18	1	0	TNEG	TNEG	371
1	experiment	RVvGV	56	1	18	40	0	HIT	HIT	450
1	experiment	RVvGV	57	1	3	40	0	HIT	HIT	311
1	experiment	RVvGV	58	1	18	40	0	HIT	HIT	314
1	experiment	RVvGV	59	1	12	40	0	HIT	HIT	384
1	experiment	RVvGV	60	0	12	1	0	TNEG	TNEG	369
1	experiment	RVvGV	61	1	12	40	0	HIT	HIT	320
1	experiment	RVvGV	62	0	3	1	0	TNEG	TNEG	359
1	experiment	RVvGV	63	1	6	40	0	HIT	HIT	300
1	experiment	RVvGV	64	0	3	1	0	TNEG	TNEG	336
1	experiment	RVvGV	65	1	3	40	0	HIT	HIT	352
1	experiment	RVvGV	66	0	18	1	0	TNEG	TNEG	315
1	experiment	RVvGV	67	1	6	40	0	HIT	HIT	325
1	experiment	RVvGV	68	1	18	40	0	HIT	HIT	354
1	experiment	RVvGV	69	1	3	40	0	HIT	HIT	303
1	experiment	RVvGV	70	1	12	40	0	HIT	HIT	336
1	experiment	RVvGV	71	1	18	40	0	HIT	HIT	370
1	experiment	RVvGV	72	1	18	40	0	HIT	HIT	458
1	experiment	RVvGV	73	0	12	1	0	TNEG	TNEG	367
1	experiment	RVvGV	74	0	12	1	0	TNEG	TNEG	351
1	experiment	RVvGV	75	0	3	1	0	TNEG	TNEG	1224
1	experiment	RVvGV	76	1	6	40	0	HIT	HIT	605
1	experiment	RVvGV	77	0	6	1	0	TNEG	TNEG	453
1	experiment	RVvGV	78	0	3	1	0	TNEG	TNEG	407
1	experiment	RVvGV	79	1	18	40	0	HIT	HIT	417
1	experiment	RVvGV	80	0	6	1	0	TNEG	TNEG	349
1	experiment	RVvGV	81	0	3	1	0	TNEG	TNEG	664
1	experiment	RVvGV	82	1	3	40	0	HIT	HIT	360
1	experiment	RVvGV	83	1	12	40	0	HIT	HIT	399
1	experiment	RVvGV	84	1	3	40	0	HIT	HIT	407
1	experiment	RVvGV	85	0	18	1	0	TNEG	TNEG	331
1	experiment	RVvGV	86	0	12	1	0	TNEG	TNEG	384
1	experiment	RVvGV	87	1	6	40	0	HIT	HIT	421
1	experiment	RVvGV	88	1	12	40	0	HIT	HIT	512
1	experiment	RVvGV	89	0	3	1	0	TNEG	TNEG	343
1	experiment	RVvGV	90	0	18	1	0	TNEG	TNEG	434
1	experiment	RVvGV	91	0	3	1	0	TNEG	TNEG	360
1	experiment	RVvGV	92	1	6	40	0	HIT	HIT	349
1	experiment	RVvGV	93	0	3	1	0	TNEG	TNEG	528
1	experiment	RVvGV	94	1	18	40	0	HIT	HIT	290
1	experiment	RVvGV	95	1	18	40	0	HIT	HIT	346
1	experiment	RVvGV	96	0	12	1	0	TNEG	TNEG	376
1	experiment	RVvGV	97	1	6	40	0	HIT	HIT	382
1	experiment	RVvGV	98	1	3	1	1	MISS	MISS	327
1	experiment	RVvGV	99	0	18	1	0	TNEG	TNEG	449
1	experiment	RVvGV	100	0	3	1	0	TNEG	TNEG	391
1	experiment	RVvGV	101	0	3	1	0	TNEG	TNEG	375
1	experiment	RVvGV	102	0	6	1	0	TNEG	TNEG	406
1	experiment	RVvGV	103	0	12	1	0	TNEG	TNEG	424
1	experiment	RVvGV	104	1	3	40	0	HIT	HIT	334
1	experiment	RVvGV	105	1	18	40	0	HIT	HIT	378
1	experiment	RVvGV	106	0	3	1	0	TNEG	TNEG	383
1	experiment	RVvGV	107	1	18	40	0	HIT	HIT	411
1	experiment	RVvGV	108	0	18	1	0	TNEG	TNEG	371
1	experiment	RVvGV	109	1	6	40	0	HIT	HIT	405
