% SubNumber, Age, Gender 	     3    19     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
    3         1      1     6    0  1997
    3         1      2     6    1   455
    3         1      3     3    0  1195
    3         1      4     1    1   706
    3         1      5     8    1   696
    3         1      6     1    1   270
    3         1      7     7    0   325
    3         1      8     2    1   758
    3         1      9     7    1   481
    3         1     10     8    1   459
    3         1     11     5    1   341
    3         1     12     2    1   289
    3         1     13     8    0   310
    3         1     14     6    1  1062
    3         1     15     8    1   521
    3         1     16     3    1   454
    3         1     17     5    1   429
    3         1     18     4    1   505
    3         1     19     3    1   357
    3         1     20     3    1   459
    3         1     21     7    1   315
    3         1     22     4    1   244
    3         1     23     2    1   356
    3         1     24     1    1   320
    3         1     25     4    0   295
    3         1     26     1    1   711
    3         1     27     5    1   418
    3         1     28     7    1   727
    3         1     29     2    1   675
    3         1     30     4    1   331
    3         1     31     5    1   372
    3         1     32     6    1   382
    3         2      1     6    1   660
    3         2      2     6    1   336
    3         2      3     5    1   341
    3         2      4     6    1   275
    3         2      5     2    1   346
    3         2      6     7    1   511
    3         2      7     2    1   244
    3         2      8     2    1   284
    3         2      9     3    1   429
    3         2     10     8    1   450
    3         2     11     8    1   623
    3         2     12     6    1   408
    3         2     13     8    1   459
    3         2     14     2    0   727
    3         2     15     1    1   603
    3         2     16     4    1   876
    3         2     17     7    1   654
    3         2     18     7    1   769
    3         2     19     8    1   578
    3         2     20     3    1   598
    3         2     21     4    1   459
    3         2     22     5    1   506
    3         2     23     6    1   938
    3         2     24     4    1   501
    3         2     25     3    1   603
    3         2     26     7    1   439
    3         2     27     2    1   459
    3         2     28     4    1   552
    3         2     29     5    1   444
    3         2     30     5    1   383
    3         2     31     1    1   320
    3         2     32     5    1   696
    3         2     33     6    1   439
    3         2     34     2    1   347
    3         2     35     8    0   300
    3         2     36     2    1   589
    3         2     37     6    1   346
    3         2     38     1    1   341
    3         2     39     4    1   860
    3         2     40     1    1  1107
    3         2     41     1    1   465
    3         2     42     5    1   660
    3         2     43     3    1   578
    3         2     44     5    1   717
    3         2     45     3    1   501
    3         2     46     5    1   387
    3         2     47     7    1   408
    3         2     48     2    1   753
    3         2     49     7    1   593
    3         2     50     8    1   491
    3         2     51     6    1   737
    3         2     52     1    1   495
    3         2     53     4    1   459
    3         2     54     3    1   397
    3         2     55     4    1   377
    3         2     56     1    1   552
    3         2     57     8    1   680
    3         2     58     7    0   603
    3         2     59     1    1   619
    3         2     60     3    1   829
    3         2     61     3    0  1159
    3         2     62     8    1   840
    3         2     63     4    1   392
    3         2     64     7    1   449
    3         3      1     1    1   635
    3         3      2     2    1  1314
    3         3      3     1    1   428
    3         3      4     1    1   387
    3         3      5     7    1   685
    3         3      6     2    1   423
    3         3      7     8    1   479
    3         3      8     4    1   639
    3         3      9     3    1   258
    3         3     10     4    1   263
    3         3     11     8    1   336
    3         3     12     3    1   336
    3         3     13     1    1   239
    3         3     14     5    1   135
    3         3     15     3    0   171
    3         3     16     8    1   614
    3         3     17     5    1   362
    3         3     18     8    1   526
    3         3     19     2    0   805
    3         3     20     4    1  1354
    3         3     21     7    1   588
    3         3     22     4    1   789
    3         3     23     4    1   475
    3         3     24     2    1   778
    3         3     25     8    1   568
    3         3     26     8    1   449
    3         3     27     4    1   634
    3         3     28     3    1   511
    3         3     29     4    1   475
    3         3     30     6    0   500
    3         3     31     6    1   429
    3         3     32     5    1   372
    3         3     33     7    1   423
    3         3     34     7    1   433
    3         3     35     5    1   634
    3         3     36     2    1   902
    3         3     37     5    1   793
    3         3     38     5    1   449
    3         3     39     2    1   583
    3         3     40     6    1  1025
    3         3     41     6    1   588
    3         3     42     8    1   450
    3         3     43     3    0   408
    3         3     44     3    1   603
    3         3     45     1    1   469
    3         3     46     7    1   629
    3         3     47     8    1   480
    3         3     48     7    1   531
    3         3     49     1    1   423
    3         3     50     5    1   423
    3         3     51     6    1   465
    3         3     52     6    1   568
    3         3     53     7    1   510
    3         3     54     2    1   475
    3         3     55     7    1   613
    3         3     56     6    1   680
    3         3     57     5    1   415
    3         3     58     4    1   506
    3         3     59     1    1   367
    3         3     60     3    1   428
    3         3     61     1    1   460
    3         3     62     2    1   469
    3         3     63     3    1   516
    3         3     64     6    1   475
    3         4      1     5    1   536
    3         4      2     8    1   531
    3         4      3     1    1   722
    3         4      4     7    1   464
    3         4      5     2    1   408
    3         4      6     4    1   475
    3         4      7     1    1   552
    3         4      8     6    1   408
    3         4      9     3    1   521
    3         4     10     2    1   434
    3         4     11     4    0   382
    3         4     12     3    1   690
    3         4     13     3    1   372
    3         4     14     7    1   608
    3         4     15     1    0   449
    3         4     16     7    1  1020
    3         4     17     8    1   500
    3         4     18     2    1   300
    3         4     19     3    1   619
    3         4     20     2    1   629
    3         4     21     5    0   541
    3         4     22     5    0  1998
    3         4     23     7    1   871
    3         4     24     4    1   624
    3         4     25     1    1   665
    3         4     26     3    0   691
    3         4     27     6    1   624
    3         4     28     7    1   454
    3         4     29     4    1   470
    3         4     30     5    1   670
    3         4     31     5    1   444
    3         4     32     3    1   536
    3         4     33     1    1   505
    3         4     34     3    1   604
    3         4     35     5    1   557
    3         4     36     8    1   459
    3         4     37     3    1   696
    3         4     38     7    1   402
    3         4     39     1    1   619
    3         4     40     2    1   527
    3         4     41     1    1   372
    3         4     42     6    1   289
    3         4     43     8    1   413
    3         4     44     5    1   495
    3         4     45     1    1   295
    3         4     46     2    1   366
    3         4     47     6    1   356
    3         4     48     2    1   331
