% SubNumber, Age, Gender 	    50    20     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   50         8      1     1    1   613
   50         8      2     2    1   332
   50         8      3     3    1   490
   50         8      4     5    1   356
   50         8      5     3    1   408
   50         8      6     6    0   618
   50         8      7     4    1   495
   50         8      8     8    1   403
   50         8      9     1    1   439
   50         8     10     1    1   367
   50         8     11     4    1   398
   50         8     12     3    1   356
   50         8     13     6    1   485
   50         8     14     7    1   372
   50         8     15     4    1   393
   50         8     16     1    1   351
   50         8     17     2    1   495
   50         8     18     5    1   340
   50         8     19     8    0   269
   50         8     20     7    1   521
   50         8     21     7    1   362
   50         8     22     6    1   356
   50         8     23     7    1   506
   50         8     24     4    1   382
   50         8     25     2    1   362
   50         8     26     5    1   465
   50         8     27     3    1   408
   50         8     28     8    1   418
   50         8     29     6    1   356
   50         8     30     5    1   464
   50         8     31     2    1   321
   50         8     32     8    1   346
   50         9      1     1    1   532
   50         9      2     3    1   367
   50         9      3     1    1   413
   50         9      4     8    1   480
   50         9      5     1    1   459
   50         9      6     5    1   327
   50         9      7     5    1   372
   50         9      8     1    1   264
   50         9      9     7    1   330
   50         9     10     3    1   357
   50         9     11     3    1   376
   50         9     12     3    1   382
   50         9     13     8    1   521
   50         9     14     3    1   382
   50         9     15     8    1   393
   50         9     16     6    1   608
   50         9     17     4    0   258
   50         9     18     4    1   522
   50         9     19     7    1   382
   50         9     20     8    1   429
   50         9     21     5    1   351
   50         9     22     6    0   392
   50         9     23     7    1   408
   50         9     24     7    1   367
   50         9     25     6    1   285
   50         9     26     5    0   403
   50         9     27     3    1   428
   50         9     28     7    1   346
   50         9     29     6    1   372
   50         9     30     5    1   433
   50         9     31     6    1   403
   50         9     32     8    1   439
   50         9     33     6    1   439
   50         9     34     6    1   330
   50         9     35     2    0   413
   50         9     36     1    1   510
   50         9     37     5    1   454
   50         9     38     4    1   449
   50         9     39     5    1   408
   50         9     40     7    1   275
   50         9     41     4    1   357
   50         9     42     4    1   398
   50         9     43     2    1   460
   50         9     44     1    1   300
   50         9     45     2    1   387
   50         9     46     3    1   516
   50         9     47     5    1   371
   50         9     48     8    1   356
   50         9     49     1    1   402
   50         9     50     2    1   408
   50         9     51     2    1   408
   50         9     52     6    1   315
   50         9     53     2    1   537
   50         9     54     2    1   485
   50         9     55     8    1   444
   50         9     56     7    0   311
   50         9     57     3    1   502
   50         9     58     4    1   387
   50         9     59     4    1   408
   50         9     60     1    1   378
   50         9     61     8    0   311
   50         9     62     4    1   727
   50         9     63     7    1   428
   50         9     64     2    1   439
   50        10      1     3    1   569
   50        10      2     7    1   382
   50        10      3     8    0   315
   50        10      4     2    1   444
   50        10      5     2    1   274
   50        10      6     5    0   403
   50        10      7     5    1   470
   50        10      8     3    1   387
   50        10      9     5    1   480
   50        10     10     2    1   454
   50        10     11     8    0   289
   50        10     12     6    1   480
   50        10     13     4    1   424
   50        10     14     4    1   357
   50        10     15     8    1   341
   50        10     16     5    1   460
   50        10     17     2    1   495
   50        10     18     3    1   490
   50        10     19     2    1   357
   50        10     20     3    1   464
   50        10     21     1    1   423
   50        10     22     8    1   516
   50        10     23     4    1   408
   50        10     24     1    1   429
   50        10     25     1    1   346
   50        10     26     3    1   434
   50        10     27     2    1   578
   50        10     28     6    1   358
   50        10     29     2    1   490
   50        10     30     1    1   341
   50        10     31     5    1   362
   50        10     32     4    0   434
   50        10     33     6    1   768
   50        10     34     3    1   537
   50        10     35     7    1   433
   50        10     36     1    1   531
   50        10     37     5    1   337
   50        10     38     3    1   433
   50        10     39     1    1   310
   50        10     40     5    1   315
   50        10     41     6    1   552
   50        10     42     6    1   428
   50        10     43     1    1   382
   50        10     44     4    0   299
   50        10     45     7    1   675
   50        10     46     4    1   428
   50        10     47     7    1   470
   50        10     48     8    1   459
   50        10     49     7    0   342
   50        10     50     6    1   356
   50        10     51     6    1   367
   50        10     52     7    1  1010
   50        10     53     4    1   428
   50        10     54     8    1   434
   50        10     55     5    1   521
   50        10     56     2    1   470
   50        10     57     7    1   480
   50        10     58     8    1   469
   50        10     59     1    1   382
   50        10     60     8    1   516
   50        10     61     6    1   599
   50        10     62     3    1   603
   50        10     63     4    1   475
   50        10     64     7    1   511
   50        11      1     8    1   501
   50        11      2     7    1   423
   50        11      3     3    1   367
   50        11      4     5    1   410
   50        11      5     2    1   383
   50        11      6     5    1   392
   50        11      7     1    1   300
   50        11      8     8    0   331
   50        11      9     2    1  1102
   50        11     10     1    1   397
   50        11     11     6    1   387
   50        11     12     3    1   486
   50        11     13     7    1   330
   50        11     14     8    1   445
   50        11     15     1    1   475
   50        11     16     2    1   413
   50        11     17     5    0   408
   50        11     18     8    1   506
   50        11     19     5    1   398
   50        11     20     3    1   532
   50        11     21     2    1   526
   50        11     22     1    1   485
   50        11     23     3    1   444
